Product 1,Jan,Afghanistan,Badakhshan,Ashkāsham,44973.23584180346
Product 1,Jan,Afghanistan,Badakhshan,Fayzabad,35232.262301512776
Product 1,Jan,Afghanistan,Badakhshan,Jurm,46062.93725321121
Product 1,Jan,Afghanistan,Badghis,Khandūd,13535.72764847832
Product 1,Jan,Afghanistan,Badghis,Rāghistān,27498.337060730726
Product 1,Jan,Aland Islands,Badghis,Wākhān,41026.46199570051
Product 1,Jan,Aland Islands,Baghlan,Ghormach,19345.703222971686
Product 1,Jan,Aland Islands,Baghlan,Qala i Naw,34085.31130444858
Product 1,Jan,Aland Islands,Baghlan,Ḩukūmatī Dahanah-ye Ghōrī,45443.31333117817
Product 1,Jan,Aland Islands,Balkh,Baghlān,30735.975574791653
Product 1,Jan,Albania,Balkh,Nahrīn,38139.15221742648
Product 1,Jan,Albania,Balkh,Pul-e Khumrī,33139.58830503198
Product 1,Jan,Albania,Bamyan,Balkh,46342.24427590478
Product 1,Jan,Albania,Bamyan,Dowlatābād,32605.820955310395
Product 1,Jan,Albania,Bamyan,Khulm,29301.463530766778
Product 1,Jan,Algeria,Daykundi,Lab-Sar,47939.877297114734
Product 1,Jan,Algeria,Daykundi,Mazār-e Sharīf,20866.571886458853
Product 1,Jan,Algeria,Daykundi,Qarchī Gak,49067.019954261574
Product 1,Jan,Algeria,Farah,Bāmyān,49270.26650683962
Product 1,Jan,Algeria,Farah,Panjāb,46747.480198819816
Product 1,Jan,American Samoa,Farah,Nīlī,32106.74578488691
Product 1,Jan,American Samoa,Faryab,Farah,20248.1096130348
Product 1,Jan,American Samoa,Faryab,Andkhōy,38599.314610918475
Product 1,Jan,American Samoa,Faryab,Maymana,22873.34026432706
Product 1,Jan,American Samoa,Ghazni,Ghazni,41748.34339731701
Product 1,Jan,Andorra,Ghazni,Fayrōz Kōh,23407.36909322227
Product 1,Jan,Andorra,Ghazni,Shahrak,26643.38177383688
Product 1,Jan,Andorra,Ghōr,‘Alāqahdārī Dīshū,15094.351963765816
Product 1,Jan,Andorra,Ghōr,Gereshk,30053.8097105935
Product 1,Jan,Andorra,Ghōr,Lashkar Gāh,11660.596461006775
Product 1,Jan,Angola,Helmand,Markaz-e Ḩukūmat-e Darwēshān,30956.468310849017
Product 1,Jan,Angola,Helmand,Sangīn,22763.562970049643
Product 1,Jan,Angola,Helmand,Chahār Burj,10396.805830878391
Product 1,Jan,Angola,Herat,Ghōriyān,33883.925009575374
Product 1,Jan,Angola,Herat,Herāt,16718.537139519744
Product 1,Jan,Anguilla,Herat,Kafir Qala,25159.612746243474
Product 1,Jan,Anguilla,Jowzjan,Karukh,45515.86896768882
Product 1,Jan,Anguilla,Jowzjan,Kuhsān,45008.7470845582
Product 1,Feb,Anguilla,Jowzjan,Kushk,26677.409960983347
Product 1,Feb,Anguilla,Kabul,Qarah Bāgh,24414.003795239943
Product 1,Feb,Antarctica,Kabul,Shīnḏanḏ,42876.441960842
Product 1,Feb,Antarctica,Kabul,Tīr Pul,28095.782455127046
Product 1,Feb,Antarctica,Kandahar,Zindah Jān,44693.20847799949
Product 1,Feb,Antarctica,Kandahar,Āqchah,38422.15672957903
Product 1,Feb,Antarctica,Kandahar,Darzāb,33747.15685434043
Product 1,Feb,Antigua And Barbuda,Kapisa,Qarqīn,19427.028722487237
Product 1,Feb,Antigua And Barbuda,Kapisa,Shibirghān,49557.03561593635
Product 1,Feb,Antigua And Barbuda,Kapisa,Kabul,25362.578986913366
Product 1,Feb,Antigua And Barbuda,Khost,Mīr Bachah Kōṯ,13755.271158484862
Product 1,Feb,Antigua And Barbuda,Khost,Paghmān,30916.680972145034
Product 1,Feb,Argentina,Khost,Kandahār,47741.83016010347
Product 1,Feb,Argentina,Kunar,Sidqābād,18261.329341108645
Product 1,Feb,Argentina,Kunar,Khōst,42107.13158252524
Product 1,Feb,Argentina,Kunar,Asadābād,19398.954949613155
Product 1,Feb,Argentina,Kunduz Province,Āsmār,41658.70000623127
